Id,Name,Ratings,Current_Price,Original_Price,Discount,Features
722,"dji Action 2 Power Combo Power Combo with Module, Magnetic Versatility, 4K Recording Upto 120 fps and ...",4.2,"₹14,990","₹44,990",66%, 12 MP4K1 Year Manufacturer Warranty
723,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
724,FUJIFILM Instax Mini 11 Instant Camera,4.3,"₹5,999","₹7,999",25%, ManualView Finder
725,dji Osmo Action Action 4 Standard Combo Sports and Action Camera,4.5,"₹32,990","₹44,990",26%, 12 MP4K1 Year Warranty
726,Canon EOS 1500D DSLR Camera Body+ 18,4.5,"₹38,990","₹47,995",18%,Self-Timer
727,SONY Alpha ILCE,4.6,"₹61,489","₹75,990",19%,High-resolution 4K movie recording
728,GoPro HERO12 DualLCDScreens 5.3K60 UltraHDVideo HyperSmooth 6.0withAutoBoostWaterproof Sports and Acti...,4.1,"₹38,990","₹45,000",13%, 27 MP5K2 Years Warranty
729,dji OSMO Action 3 Standard Combo Sports and Action Camera,4.4,"₹22,990","₹34,999",34%, 12 MP4K1 Year Manufacturer Warranty
730,"Canon EOS 3000D DSLR Camera 1 Body, 18",4.4,"₹31,990","₹35,995",11%,Self-Timer
731,FUJIFILM Instax Mini 11 Instant Camera,4.3,"₹5,999","₹7,999",25%, ManualView Finder
732,dji OSMO Action 3 Adventure Combo Sports and Action Camera,4.4,"₹31,990","₹44,999",28%, 12 MP4K1 Year Manufacturer Warranty
733,SONY Alpha ILCE,4.6,"₹74,489","₹90,990",18%,4K movies and pro-level features
734,Insta360 Action Camera X3 Sports and Action Camera,4.4,"₹39,990","₹51,999",23%, 72 MPHDR1 Year Manufacturer Warranty
735,NIKON D7500 DSLR Camera Body with 18,4.6,"₹72,990","₹94,950",23%,4K UHD
736,DIGITEK GoCAM DAC,3.5,"₹8,999","₹14,995",39%, 48 MP5K1 year carry in warranty
737,DIGITEK GoCAM DAC,3.6,"₹6,499","₹10,995",40%, 24 MP4K1 year carry in warranty
738,Insta360 X4 Sports and Action Camera,4.4,"₹54,990","₹59,990",8%, 72 MPHDR1 Year Warranty
739,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
740,SONY Alpha ILCE,4.6,"₹65,489","₹80,490",18%,4K movies and pro-level features
741,Henzila E99 TOY Drone,4,"₹2,499","₹9,999",75%, Professional DroneControl Range
742,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
743,dji Osmo OSMO POCKET 2 Sports and Action Camera,4.3,"₹24,990","₹34,990",28%, 64 MP4K1 Year Warranty
744,Canon R100 Mirrorless Camera RF,4.5,"₹44,990","₹64,995",30%,DIGIC 8 Image Processor
745,Canon EOS 200D II DSLR Camera EF,4.5,"₹52,990","₹68,995",23%,Vari-angle Touch Screen LCD
746,"dji Action 2 Power Combo Power Combo with Module, Magnetic Versatility, 4K Recording Upto 120 fps and ...",4.2,"₹14,990","₹44,990",66%, 12 MP4K1 Year Manufacturer Warranty
747,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
748,FUJIFILM Instax Mini 11 Instant Camera,4.3,"₹5,999","₹7,999",25%, ManualView Finder
